gate,metric,value,threshold,pass
1_permutation_significant,p_selected,0.9080919080919081,0.05,False
1_permutation_significant,p_naive_UNCORRECTED(对照·不入闸),0.11988011988011989,,
1b_partial_ic_same_sign,partial_ic_signed_at_winner,-0.13670198334937397,0.0,True
1b_partial_ic_same_sign,p_selected_at_winner,0.97002997002997,0.05,False
2_stable_halves,ic_train_2014_2020,-0.15703324808184144,0.0,True
2_stable_halves,ic_val_2021_2023,-0.16218487394957984,0.0,True
3_net_positive,net_sharpe_selection_2014_2023,0.40770959157618425,0.0,True
OVERALL,STOP(任一关不过),0.0,,False
META,verdict,STOP,,
META,winner_family,D1,,
META,winner_lb,5,,
META,winner_zw,250,,
META,winner_k,20,,
META,winner_abs_ic,0.16226415094339622,,
META,winner_ic_signed_selection,-0.16226415094339622,,
META,p_selected_ic,0.9080919080919081,,
META,p_naive_ic_UNCORRECTED,0.11988011988011989,,
META,p_min_p_ic,0.45054945054945056,,
META,selection_inflation_ic,7.574999999999999,,
META,partial_ic_signed_at_winner,-0.13670198334937397,,
META,p_selected_partial_at_winner,0.97002997002997,,
META,p_selected_partial_own_winner,0.9170829170829171,,
META,partial_machine_own_winner,"('D2', 5, 60, 20)",,
META,null_selected_p95_ic,0.41868009903526,,
META,n_distinct_null_winners_ic,30,,
META,winner_ic_selection_2014_2023,-0.16226415094339622,,
META,winner_ic_train_2014_2020,-0.15703324808184144,,
META,winner_ic_val_2021_2023,-0.16218487394957984,,
META,winner_ic_holdout_2024_2026,0.040266963292547274,,
META,winner_ic_full_2014_2026,-0.23256046944325176,,
META,winner_net_sharpe_selection_2014_2023,0.40770959157618425,,
META,winner_net_sharpe_train_2014_2020,0.429496794555945,,
META,winner_net_sharpe_val_2021_2023,0.33644929500070275,,
META,winner_net_sharpe_holdout_2024_2026,0.27532117760606234,,
META,winner_net_sharpe_full_2014_2026,0.6278295785799554,,
META,n_perm,1000,,
META,seed,0,,
META,cost_bps,3.0,,
META,n_obs_selection,2127,,
META,sample_first_date,2015-04-09,,
META,sample_last_date,2023-12-29,,
META,min_shift,80,,
META,max_shift,2047,,
META,n_variants,48,,
META,max_abs_diff_rebuilt_ew_vs_production_csv,4.9966071478557694e-05,,
META,vectorized_vs_house_ic_max_abs_diff,2.7755575615628914e-17,,
META,db_host,100.75.102.44,,
META,holdout_policy,2024-2026 只报告不选择、不进任何闸门（勘误 §3 / 议程 §7.3）,,
