gate,metric,value,threshold,pass
1_worst_tv_sharpe,winner_worst_tv_sharpe,1.269337161236464,1.100930606530241,True
1_worst_tv_sharpe,incumbent_worst_tv_sharpe(同秤),1.000930606530241,,
1_worst_tv_sharpe,margin_vs_incumbent,0.2684065547062229,0.1,True
2_turnover,winner_turnover_selection,15.752875924404272,10.468364831553,False
2_turnover,incumbent_turnover_selection(同窗),10.468364831553,,
3_maxdd,winner_maxdd_selection,-0.1914777684189467,-0.167,False
3_maxdd,incumbent_maxdd_selection(同窗·诊断),-0.1348188666457083,,
DIAGNOSTIC,p_selected(机器主口径·非判据),0.000999000999000999,,
DIAGNOSTIC,p_naive_UNCORRECTED(对照·不得入闸),0.000999000999000999,,
OVERALL,STOP(任一条不中),0.0,,False
META,verdict,STOP,,
META,winner_theta_L,0.0,,
META,winner_h,0.0,,
META,winner_w_S,-0.5,,
META,winner_is_incumbent,False,,
META,observed_best_worst_tv,1.2693371612364621,,
META,p_selected,0.000999000999000999,,
META,p_naive_UNCORRECTED,0.000999000999000999,,
META,p_min_p,0.004995004995004995,,
META,selection_inflation,1.0,,
META,null_selected_p95,0.7555536901490605,,
META,n_distinct_null_winners,32,,
META,winner_net_sharpe_selection_2014_2023,1.5766731874690108,,
META,winner_net_sharpe_train_2014_2020,1.6787425884942058,,
META,winner_net_sharpe_val_2021_2023,1.269337161236464,,
META,winner_net_sharpe_holdout_2024_2026,1.844538840750589,,
META,winner_net_sharpe_full_2014_2026,1.6363131488592662,,
META,incumbent_net_sharpe_selection_2014_2023,1.5388540534815431,,
META,incumbent_net_sharpe_train_2014_2020,1.7053473108535933,,
META,incumbent_net_sharpe_val_2021_2023,1.000930606530241,,
META,incumbent_net_sharpe_holdout_2024_2026,1.8588901569075682,,
META,incumbent_net_sharpe_full_2014_2026,1.609892322100946,,
META,n_perm,1000,,
META,seed,0,,
META,cost_bps,3.0,,
META,n_obs_selection,2434,,
META,sample_first_date,2014-01-02,,
META,sample_last_date,2023-12-29,,
META,min_shift,60,,
META,max_shift,2374,,
META,n_variants,32,,
META,vectorized_vs_house_max_abs_diff,1.1546319456101628e-14,,
META,db_host,100.75.102.44,,
META,carry_policy,每口径各用各的 carry（500→IC、1000→IM、blend→50/50）；机器与三条判据只用 blend,,
META,holdout_policy,2024-2026 只报告不选择、不进任何闸门（勘误 §3 / 议程 §7.3）,,
META,deploy_policy,不改 deploy/ 与 production.py；GO 只出草案，用户另行拍板,,
META,shift_rule_max_abs_acf_at_chosen_lag,0.032776943102960615,,
